Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
4973,0.51,Ideal,E,SI1,61.5,54.0,5.15,5.19,3.18,1356
17647,0.62,Premium,G,VS2,62.2,55.0,5.51,5.46,3.41,1823
4220,1.07,Premium,G,SI2,59.8,60.0,6.7,6.65,3.99,4278
4666,0.72,Very Good,J,SI1,58.3,62.0,5.87,5.93,3.44,1886
1225,0.41,Premium,G,SI1,62.5,58.0,4.78,4.75,2.98,923
24046,1.04,Ideal,F,SI1,61.4,56.0,6.52,6.58,4.02,5663
16356,0.79,Premium,I,SI1,61.8,60.0,5.96,5.92,3.67,2317
20769,0.53,Good,E,VS1,63.2,56.0,5.14,5.18,3.26,1776
14477,2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,14208
23664,0.31,Ideal,F,IF,61.4,56.0,4.4,4.43,2.71,1168
8310,1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,4240
10341,0.7,Premium,H,SI2,62.1,62.0,5.67,5.63,3.51,1999
25145,0.74,Ideal,D,VS2,61.4,58.0,5.8,5.83,3.57,3668
17472,0.71,Good,I,VVS2,63.6,57.0,5.69,5.66,3.61,2450
7911,0.7,Very Good,E,SI1,59.6,63.0,5.72,5.65,3.39,2396
403,0.52,Very Good,G,SI1,61.7,57.0,5.13,5.16,3.17,1311
80,2.16,Premium,H,SI2,62.3,57.0,8.29,8.22,5.14,11473
10971,0.71,Premium,G,SI2,60.6,59.0,5.78,5.74,3.49,2147
1693,0.3,Ideal,D,VVS2,62.1,57.0,4.27,4.3,2.66,814
21492,1.2,Premium,F,VVS2,62.8,60.0,6.79,6.74,4.25,10580
12332,0.26,Very Good,F,VVS1,62.0,59.0,4.08,4.15,2.55,597
24994,0.42,Ideal,I,VVS1,62.5,57.0,4.77,4.8,2.99,884
15418,0.8,Very Good,I,SI2,60.7,56.0,6.01,6.03,3.66,2329
20261,0.71,Very Good,H,SI2,62.2,55.1,5.7,5.72,3.55,2339
26962,0.25,Premium,F,VVS2,62.0,59.0,4.04,3.99,2.49,740
26247,0.59,Ideal,E,VVS2,61.1,57.0,5.39,5.41,3.3,2911
13639,0.91,Good,G,SI1,63.5,61.0,6.05,6.1,3.86,3776
24428,0.73,Very Good,F,VS1,62.0,57.0,5.73,5.75,3.56,3200
316,0.41,Ideal,G,SI2,61.3,56.0,4.78,4.81,2.94,605
20086,0.34,Ideal,E,SI1,,55.0,4.47,4.51,2.79,596
14313,0.71,Ideal,F,SI2,59.3,57.0,5.86,5.81,3.46,2331
9834,1.01,Good,E,SI1,58.1,59.0,6.57,6.65,3.84,5627
6561,1.02,Ideal,G,VS2,60.6,56.0,6.56,6.52,3.96,6333
4460,0.55,Ideal,D,VS2,61.7,55.0,5.27,5.29,3.26,2133
24938,0.5,Very Good,D,SI2,63.4,59.0,5.03,5.0,3.18,1243
684,0.26,Very Good,E,VS2,62.8,58.0,4.0,4.06,2.53,601
9385,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3780
24623,1.13,Very Good,E,VS2,61.9,61.0,6.61,6.64,4.1,8358
25689,1.01,Premium,D,SI1,62.9,59.0,6.43,6.39,4.03,5543
26640,2.2,Premium,J,VS1,61.7,59.0,8.3,8.34,5.13,15064
17039,0.8,Ideal,H,VS1,63.1,58.0,5.89,5.96,3.74,3111
21245,1.14,Very Good,F,VVS2,63.3,56.0,6.56,6.71,4.2,8912
19344,0.7,Very Good,E,SI2,,59.0,5.7,5.75,3.46,2453
5512,0.75,Ideal,E,VS1,62.0,55.0,5.88,5.83,3.66,3402
10771,0.31,Good,D,VS1,61.7,61.0,4.32,4.34,2.67,653
6083,0.32,Good,E,VS2,64.1,54.0,4.32,4.36,2.78,658
10362,0.38,Ideal,E,VS2,61.9,57.0,4.66,4.61,2.87,963
14033,0.53,Ideal,G,VS1,62.6,54.0,5.19,5.16,3.24,1813
7805,0.72,Very Good,G,VS1,63.5,55.0,5.75,5.68,3.63,2422
7868,0.34,Premium,H,VVS1,61.2,58.0,4.51,4.48,2.75,862
18826,1.01,Premium,E,SI2,62.5,60.0,6.39,6.42,4.0,4355
1846,0.31,Very Good,H,VVS2,61.2,60.0,4.37,4.39,2.68,625
10744,0.32,Ideal,D,VS2,62.7,57.0,4.4,4.44,2.77,758
18958,0.32,Very Good,G,VVS1,60.6,56.0,4.44,4.47,2.7,772
15654,1.24,Ideal,F,VVS2,62.0,57.0,6.86,6.91,4.27,12059
20943,0.41,Premium,E,VVS1,62.9,59.0,4.76,4.72,2.98,1431
16956,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,5699
23485,0.4,Premium,G,VVS2,59.7,58.0,4.78,4.8,2.86,982
25127,1.1,Ideal,I,VS1,60.8,58.0,6.68,6.63,4.04,5291
1241,1.01,Ideal,F,VS2,62.0,56.0,6.51,6.46,4.02,6533
14500,0.91,Fair,D,VS2,65.7,58.0,6.04,5.99,3.95,4107
881,0.42,Premium,H,VVS1,62.0,58.0,4.79,4.82,2.98,1068
17357,0.58,Very Good,G,VVS2,62.0,57.0,5.33,5.34,3.31,2078
17624,0.8,Ideal,D,VS1,62.4,56.0,5.94,5.98,3.72,4619
20638,1.0,Good,G,SI1,63.1,56.0,6.31,6.41,4.01,4218
25515,1.59,Very Good,G,SI1,59.5,61.0,7.57,7.65,4.53,10963
14382,0.32,Good,H,SI1,63.1,54.0,4.36,4.42,2.77,449
13277,1.06,Ideal,H,SI2,60.9,56.0,6.58,6.63,4.02,4563
11992,0.34,Ideal,G,VS2,61.8,56.0,4.48,4.52,2.78,596
4475,0.7,Good,H,VS1,59.4,62.0,5.71,5.74,3.4,2421
17290,0.31,Premium,H,VS2,61.9,58.0,4.39,4.37,2.71,628
15666,1.1,Very Good,H,SI1,61.6,56.0,6.61,6.66,4.09,4827
18514,1.22,Ideal,G,VS2,61.4,56.0,6.88,6.9,4.23,8213
15632,1.51,Premium,J,SI1,61.2,62.0,7.36,7.32,4.49,6976
18114,1.22,Ideal,I,SI1,61.7,57.0,6.85,6.82,4.22,6012
6412,1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
25559,0.41,Ideal,F,VVS2,,56.0,4.82,4.78,2.93,1192
670,3.04,Very Good,I,SI2,63.2,59.0,9.14,9.07,5.75,15354
11989,0.7,Very Good,E,SI1,63.5,58.0,5.65,5.62,3.58,2592
4757,0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,949
12466,0.71,Ideal,J,SI2,61.3,56.0,5.73,5.78,3.53,1901
9176,0.24,Very Good,F,VVS2,,57.0,4.03,4.06,2.48,538
16859,0.47,Premium,E,SI1,59.3,56.0,5.07,5.05,3.02,1087
25825,0.5,Premium,I,SI1,61.7,58.0,5.09,5.15,3.16,965
732,0.83,Ideal,D,SI1,61.5,53.0,6.09,6.07,3.74,3933
12617,1.2,Premium,H,SI2,59.6,60.0,6.91,6.84,4.1,4906
18400,0.32,Very Good,G,VS1,60.8,56.0,4.45,4.48,2.71,660
4671,0.55,Very Good,F,SI1,63.3,58.0,5.21,5.18,3.29,1449
56,1.02,Very Good,F,VS1,62.4,58.0,6.42,6.47,4.02,7587
16419,1.13,Premium,D,SI2,60.9,59.0,6.65,6.72,4.07,5133
19348,0.4,Good,G,VVS1,59.1,61.0,4.86,4.88,2.88,1013
16925,0.7,Ideal,G,SI1,61.9,56.0,5.66,5.71,3.52,2414
25759,0.35,Very Good,E,VS1,59.7,59.0,4.59,4.62,2.75,790
26093,1.49,Ideal,H,SI1,62.4,56.0,7.28,7.24,4.53,9132
23569,1.26,Ideal,G,SI1,59.6,57.0,7.08,7.04,4.21,6738
11788,0.34,Ideal,E,SI1,60.7,56.0,4.51,4.55,2.75,596
21249,0.55,Very Good,D,SI2,63.3,56.0,5.24,5.21,3.31,1368
24733,0.5,Good,E,SI2,63.7,55.0,5.03,5.08,3.22,1077
7030,2.09,Ideal,J,VS1,61.2,59.0,8.31,8.22,5.06,15172
21589,0.55,Good,D,SI2,63.3,56.0,5.21,5.24,3.31,1272
26817,0.36,Premium,G,SI2,60.8,58.0,4.57,4.61,2.79,473
21748,0.58,Ideal,F,VS2,62.1,55.0,5.33,5.37,3.32,1666
25654,0.51,Ideal,D,VS1,62.5,57.0,5.13,5.08,3.19,1873
16435,1.5,Ideal,H,VS2,62.8,57.0,7.3,7.25,4.57,11159
19902,0.4,Good,D,VVS2,60.2,63.0,4.74,4.8,2.87,1135
4527,0.35,Very Good,D,SI1,60.1,61.0,4.56,4.59,2.75,644
6906,0.42,Very Good,E,SI1,62.5,55.0,4.8,4.83,3.01,773
18717,0.33,Ideal,F,VVS2,61.7,55.0,4.46,4.49,2.76,761
8901,0.3,Ideal,H,SI1,62.2,57.0,4.26,4.29,2.66,450
10485,1.5,Very Good,E,VS1,59.0,62.0,7.45,7.47,4.4,15957
24335,0.7,Good,D,VS2,,59.0,5.49,5.56,3.54,3087
4702,0.43,Premium,E,VS1,,58.0,4.82,4.78,2.99,1209
5107,1.3,Ideal,D,SI1,61.8,56.0,6.93,6.96,4.29,9242
9083,0.3,Very Good,G,SI2,58.1,61.0,4.41,4.47,2.58,394
11663,0.7,Fair,G,I1,67.5,55.0,5.59,5.37,3.71,1069
14035,0.38,Good,I,IF,56.6,59.0,4.82,4.87,2.74,886
18145,0.34,Very Good,D,VS2,62.9,55.0,4.43,4.47,2.8,805
12145,1.0,Very Good,F,SI2,62.7,58.0,6.3,6.36,3.97,3789
7588,1.42,Very Good,G,VS1,62.7,55.0,7.11,7.17,4.48,11452
25617,0.91,Ideal,I,VS2,,56.0,6.18,6.22,3.84,4199
3528,1.31,Ideal,H,SI2,62.3,56.0,7.0,6.97,4.35,6225
7129,0.57,Premium,F,VS2,60.3,58.0,5.4,5.44,3.27,1754
6818,0.91,Good,I,SI2,60.2,59.0,6.24,6.29,3.77,3034
14422,1.5,Very Good,D,VS2,62.4,59.0,7.21,7.27,4.52,13287
21780,0.52,Premium,G,SI2,61.4,56.0,5.27,5.18,3.2,1235
9507,0.59,Very Good,I,VS2,60.3,59.0,5.41,5.43,3.27,1445
17246,1.05,Good,E,I1,64.1,58.0,6.46,6.32,4.09,2066
17092,0.23,Premium,G,VVS2,58.1,59.0,4.09,4.03,2.36,550
23802,0.36,Very Good,G,VS1,61.2,60.0,4.56,4.59,2.8,726
9875,0.32,Ideal,G,VVS2,61.9,57.0,4.41,4.38,2.72,936
380,0.4,Premium,E,VS1,60.1,58.0,4.76,4.72,2.85,1125
10806,0.56,Premium,E,VS2,61.1,59.0,5.27,5.34,3.24,1552
14092,1.04,Ideal,H,SI1,59.7,60.0,6.61,6.59,3.94,4812
22784,0.36,Premium,D,SI2,60.0,58.0,4.62,4.58,2.76,689
7126,1.5,Very Good,J,VVS2,63.3,56.0,7.18,7.29,4.58,8391
18468,0.44,Very Good,G,SI1,,61.0,4.83,4.88,2.99,772
6849,1.0,Premium,D,SI2,60.9,59.0,6.46,6.41,3.92,5286
1054,2.02,Ideal,H,SI2,62.4,56.0,8.14,8.04,5.06,12680
1405,1.41,Very Good,H,SI2,58.5,57.0,7.36,7.44,4.33,7339
18412,1.73,Premium,I,VS1,62.2,59.0,7.65,7.62,4.75,12674
19732,0.3,Good,J,VS1,63.4,57.0,4.23,4.26,2.69,394
26329,0.3,Ideal,E,VVS2,62.8,55.0,4.28,4.32,2.7,731
16783,0.3,Ideal,H,IF,60.8,56.0,4.36,4.39,2.66,764
10482,0.67,Ideal,G,IF,61.6,55.0,5.61,5.65,3.47,3271
9382,0.61,Very Good,J,SI2,58.1,63.0,5.62,5.6,3.26,1125
22830,0.51,Very Good,F,SI2,62.3,55.0,5.13,5.15,3.2,1243
16609,0.51,Ideal,E,VS2,62.0,56.0,5.15,5.11,3.18,1781
675,2.02,Ideal,I,SI1,61.9,58.0,8.07,8.18,5.03,15942
14811,0.4,Ideal,E,SI1,60.6,56.0,4.77,4.78,2.9,772
13236,1.01,Premium,J,I1,60.7,59.0,6.39,6.42,3.89,2488
14489,0.26,Premium,F,VS1,59.5,58.0,4.22,4.18,2.5,580
4525,1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03,2855
25478,0.56,Ideal,E,VS2,,57.0,5.31,5.34,3.23,1819
5217,1.55,Premium,G,VS2,60.5,60.0,7.49,7.46,4.52,10499
11169,0.3,Good,F,SI2,63.3,55.0,4.29,4.33,2.73,394
1438,0.7,Premium,G,VS2,62.2,61.0,5.59,5.54,3.46,2657
18517,0.91,Very Good,E,SI1,63.5,57.0,6.11,6.07,3.87,4138
25211,1.2,Ideal,I,VVS2,61.5,56.0,6.79,6.84,4.19,7877
19901,0.3,Ideal,F,VS2,62.5,53.3,4.28,4.31,2.69,601
15064,0.61,Very Good,D,VS2,61.5,57.0,5.45,5.48,3.36,2266
22976,0.9,Premium,F,SI2,61.4,58.0,6.13,6.19,3.78,3619
14729,0.5,Ideal,E,VS1,62.7,57.0,5.01,5.03,3.15,1591
19710,0.5,Very Good,G,VS1,63.2,59.0,5.03,5.07,3.19,1580
2673,0.32,Very Good,D,SI1,60.1,60.0,4.38,4.4,2.64,619
6549,1.1,Ideal,G,VS1,62.0,58.0,6.59,6.64,4.1,8060
13239,0.7,Premium,H,SI1,62.0,58.0,5.65,5.71,3.52,2155
5365,0.36,Very Good,G,SI1,62.0,59.0,4.53,4.56,2.82,537
7123,0.7,Ideal,G,VS2,60.0,57.0,5.8,5.84,3.49,2633
16488,1.5,Very Good,F,I1,63.2,57.0,7.29,7.24,4.59,6028
4150,1.01,Good,D,SI2,63.6,57.0,6.39,6.35,4.05,4805
12871,0.7,Ideal,J,SI1,60.4,56.0,5.71,5.74,3.46,1926
14588,0.35,Premium,E,SI1,59.7,60.0,4.58,4.53,2.72,788
15648,0.92,Ideal,D,SI2,61.9,55.0,6.24,6.27,3.87,5051
3271,1.74,Very Good,D,SI1,61.9,58.0,7.74,7.79,4.81,16286
25655,0.41,Premium,G,VS2,60.9,58.0,4.8,4.83,2.93,827
19585,0.76,Ideal,G,VS2,61.7,55.0,5.86,5.91,3.63,3114
959,1.19,Ideal,D,SI2,60.4,55.0,6.91,6.89,4.17,5504
3986,0.73,Premium,E,VS2,61.9,57.0,5.79,5.75,3.57,3127
5803,0.8,Ideal,G,VS2,62.2,56.0,5.94,5.87,3.67,2834
25408,0.75,Ideal,E,VS2,60.2,57.0,5.93,5.9,3.56,3136
17842,0.26,Premium,H,VVS1,59.8,59.0,4.12,4.17,2.48,468
21916,1.0,Premium,F,VS1,62.0,59.0,6.42,6.35,3.96,7056
6152,1.07,Fair,F,SI1,60.6,66.0,6.65,6.46,3.97,4554
25864,0.51,Ideal,G,VVS1,62.6,57.0,5.08,5.14,3.2,2005
5307,0.41,Ideal,D,SI1,61.6,55.0,4.78,4.8,2.95,791
8568,0.31,Ideal,G,VVS1,62.5,57.0,4.31,4.36,2.71,816
15972,0.32,Premium,G,SI1,61.6,58.0,4.36,4.4,2.7,477
8305,2.3,Premium,J,SI2,59.7,58.0,8.63,8.68,5.17,13560
6252,0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,468
15269,0.7,Ideal,I,VS2,61.9,53.2,5.68,5.71,3.56,2240
5054,0.55,Premium,E,SI1,60.8,58.0,5.32,5.29,3.22,1698
8165,0.7,Premium,G,VS1,61.0,59.0,5.77,5.68,3.49,2535
7159,0.77,Ideal,G,VS2,61.8,54.0,5.91,5.94,3.66,3300
10824,0.3,Premium,H,SI1,61.3,61.0,4.27,4.25,2.61,540
10227,0.3,Very Good,D,SI2,61.2,60.0,4.28,4.31,2.63,447
19844,1.0,Premium,D,SI1,59.2,62.0,6.54,6.49,3.86,5723
10145,0.61,Premium,G,VS1,62.7,57.0,5.43,5.36,3.38,2192
12364,1.26,Ideal,G,VS1,61.6,56.0,6.96,7.03,4.31,9078
3254,0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72,2789
8827,0.7,Premium,H,VS2,61.0,59.0,5.72,5.65,3.47,2251
7925,0.28,Very Good,F,VVS2,62.6,55.0,4.18,4.2,2.62,707
12758,1.01,Very Good,G,SI1,62.0,63.0,6.34,6.25,3.9,3137
22817,2.08,Premium,G,VS2,61.3,58.0,8.21,8.17,5.02,16854
5049,0.4,Very Good,D,VS2,62.3,60.0,4.66,4.68,2.91,850
18692,1.0,Fair,G,I1,67.3,57.0,6.26,6.12,4.18,1954
18874,1.11,Very Good,E,SI2,62.0,58.0,6.61,6.68,4.12,4769
4314,0.43,Ideal,I,SI1,62.2,54.0,4.84,4.87,3.02,670
13128,0.71,Premium,H,IF,60.2,61.0,5.8,5.76,3.48,3384
10577,0.31,Premium,E,VS1,60.2,58.0,4.38,4.43,2.65,734
13434,0.55,Ideal,F,SI2,61.2,56.0,5.23,5.29,3.22,1175
3266,0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61,2789
5337,0.55,Ideal,F,VS1,61.8,55.0,5.28,5.3,3.27,2119
3315,1.03,Ideal,G,SI1,61.6,57.0,6.53,6.46,4.0,4900
17530,0.46,Ideal,I,VS2,62.2,56.0,4.96,4.9,3.07,1073
19210,1.6,Very Good,E,SI2,62.0,57.0,7.47,7.54,4.65,9900
7218,0.3,Ideal,G,IF,62.1,55.0,4.32,4.35,2.69,863
6391,0.42,Very Good,F,SI1,63.4,56.0,4.8,4.76,3.03,926
17112,2.02,Ideal,G,SI2,61.7,57.0,8.15,8.1,5.01,17265
15190,1.22,Ideal,E,SI2,62.7,57.0,6.84,6.81,4.28,6343
13887,1.0,Premium,G,SI2,62.5,59.0,6.41,6.33,3.98,3136
15731,0.56,Ideal,F,SI1,61.1,55.9,5.33,5.35,3.26,1685
9278,1.01,Ideal,D,VVS2,61.1,57.0,6.47,6.49,3.96,10860
26229,0.71,Premium,H,SI1,62.4,62.0,5.67,5.64,3.53,2207
10207,0.36,Good,H,SI1,63.6,57.0,4.53,4.49,2.87,665
22518,0.7,Premium,G,VS2,61.8,60.0,5.66,5.63,3.49,2479
24539,0.9,Premium,I,VS1,62.2,58.0,6.18,6.13,3.83,3580
11715,0.71,Ideal,D,VS2,60.9,56.0,5.76,5.79,3.52,4029
26798,0.56,Very Good,E,IF,61.0,59.0,5.28,5.34,3.24,2833
8515,0.34,Ideal,G,VVS1,62.1,53.0,4.49,4.53,2.8,863
11196,0.31,Ideal,G,VVS1,62.0,55.0,4.34,4.37,2.7,789
17525,0.39,Ideal,G,IF,61.9,54.0,4.67,4.73,2.91,1101
22617,1.01,Premium,E,SI2,59.1,60.0,6.57,6.55,3.88,4412
15138,1.04,Ideal,G,VS1,61.8,56.0,6.5,6.52,4.02,7467
23027,1.02,Very Good,H,SI2,63.5,60.0,6.33,6.24,3.99,3998
8636,0.74,Premium,D,VS1,62.3,58.0,5.79,5.77,3.6,3461
107,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
9867,0.52,Ideal,D,SI1,62.4,57.0,5.14,5.18,3.22,1600
16152,0.34,Very Good,D,SI1,62.8,58.0,4.44,4.48,2.8,626
11257,1.7,Premium,D,SI1,61.9,59.0,7.61,7.64,4.72,15100
14574,0.33,Ideal,F,VVS1,61.1,56.0,4.45,4.48,2.73,893
24040,2.14,Premium,I,VS2,59.3,59.0,8.39,8.43,5.0,15418
792,1.45,Fair,F,I1,64.8,67.0,7.16,7.0,4.64,4320
22123,0.72,Very Good,E,SI1,61.6,58.0,5.74,5.78,3.55,2688
9483,1.01,Ideal,E,SI2,61.2,54.0,6.49,6.52,3.98,4666
16288,0.55,Ideal,F,SI2,62.3,57.0,5.27,5.22,3.27,1263
23046,1.07,Ideal,H,VVS2,61.3,57.0,6.6,6.62,4.05,7821
23764,0.5,Premium,E,SI1,62.2,58.0,5.03,4.87,3.1,1073
23847,0.35,Very Good,H,VVS1,60.1,62.0,4.52,4.57,2.73,745
26596,0.34,Ideal,F,VS2,61.6,57.0,4.53,4.47,2.77,880
21841,0.4,Good,E,SI2,64.2,57.0,4.68,4.7,3.01,617
11272,1.0,Very Good,F,VS2,63.4,58.0,6.3,6.39,4.02,6818
17953,1.03,Ideal,E,VS1,61.7,56.0,6.47,6.53,4.01,8284
3308,1.7,Good,J,VS2,63.6,59.0,7.53,7.48,4.77,8134
4552,1.32,Premium,G,SI1,62.1,59.0,7.03,6.99,4.35,6542
15659,0.52,Ideal,E,SI2,61.9,56.0,5.17,5.19,3.2,1299
11250,0.43,Premium,D,SI1,61.2,58.0,4.83,4.87,2.97,830
1398,0.54,Ideal,F,VS2,62.8,57.0,5.25,5.2,3.28,1621
7131,1.04,Premium,I,SI2,61.3,59.0,6.5,6.46,3.97,4141
378,0.9,Ideal,F,SI2,61.8,56.0,6.18,6.21,3.83,4593
20351,1.01,Good,H,SI1,59.5,62.0,6.49,6.55,3.88,5197
19580,2.01,Very Good,J,VS1,61.2,60.0,8.06,8.14,4.96,14812
17139,0.71,Very Good,E,VVS2,61.5,61.0,5.7,5.75,3.52,3580
